Country,Crime Index,Safety Score,Annual Rainfall (mm),Climate Zone,Temperature (F),Temperature (C)
venezuela,82.1,17.9,2044,AM,79.97,26.65
papua new guinea,80.4,19.6,3142,AF,73.45,23.03
afghanistan,78.4,21.6,327,DSB,60.26,15.7
haiti,78.3,21.7,1440,AW,79.66,26.48
south africa,75.5,24.5,495,BWK,70.2,21.22
honduras,74.3,25.7,1976,AM,75.97,24.43
trinidad and tobago,70.8,29.2,2200,AM,81.9,27.72
syria,69.1,30.9,252,BWH,71.17,21.76
guyana,68.8,31.2,2387,AF,82.02,27.79
jamaica,67.5,32.5,2051,AW,80.29,26.83
peru,67.5,32.5,1738,AF,63.73,17.63
somalia,66.7,33.3,282,BWH,82.24,27.91
brazil,66.1,33.9,1761,AW,78.3,25.72
nigeria,65.8,34.2,1150,AW,85.03,29.46
angola,65.8,34.2,1010,AW,75.87,24.37
namibia,64.6,35.4,285,BWH,76.03,24.46
cameroon,64.2,35.8,1604,AW,80.26,26.81
argentina,64.0,36.0,591,CFA,64.83,18.24
mozambique,63.7,36.3,1032,AW,78.12,25.62
bangladesh,62.5,37.5,2666,AW,81.93,27.74
el salvador,62.1,37.9,1784,AW,81.16,27.31
bolivia,62.0,38.0,1146,AW,64.94,18.3
puerto rico,61.7,38.3,2054,AM,80.53,26.96
dominican republic,61.1,38.9,1410,AF,78.93,26.07
colombia,60.8,39.2,3240,CFB,75.56,24.2
ecuador,60.7,39.3,2274,CFB,63.07,17.26
zimbabwe,60.6,39.4,657,BSH,72.91,22.73
libya,60.4,39.6,56,BWH,74.97,23.87
bahamas,60.3,39.7,1292,AW,78.51,25.84
guatemala,60.1,39.9,1996,AM,71.1,21.72
chile,58.7,41.3,1522,CSB,58.08,14.49
ivory coast,57.5,42.5,1348,AW,82.42,28.01
kenya,56.8,43.2,630,AW,72.5,22.5
fiji,56.7,43.3,2592,AF,79.68,26.49
uganda,55.9,44.1,1180,AM,74.25,23.47
maldives,55.2,44.8,1972,AM,82.78,28.21
france,54.6,45.4,867,CFB,54.39,12.44
tanzania,54.4,45.6,1071,BSH,75.6,24.22
mexico,54.1,45.9,758,BSK,71.65,22.03
kyrgyzstan,53.9,46.1,533,DFB,49.3,9.61
costa rica,53.7,46.3,2926,CFB,74.43,23.57
mongolia,53.5,46.5,241,BSK,34.2,1.22
cambodia,53.0,47.0,1904,AM,84.15,28.97
botswana,52.6,47.4,416,BSH,76.21,24.56
belize,52.3,47.7,1705,AM,79.95,26.64
uruguay,51.9,48.1,1300,CFA,65.52,18.62
malaysia,51.6,48.4,2875,AF,82.9,28.28
belarus,51.4,48.6,618,DFB,47.59,8.66
algeria,51.4,48.6,89,BWH,68.0,20.0
ethiopia,51.4,48.6,848,BSH,72.01,22.23
north korea,50.7,49.3,1054,DWB,48.65,9.25
paraguay,50.6,49.4,1130,AW,77.11,25.06
nicaragua,50.2,49.8,2280,AM,79.66,26.48
myanmar,50.0,50.0,2091,AW,80.64,27.02
iran,49.8,50.2,228,BWK,65.17,18.43
united states,49.2,50.8,715,CFA,54.75,12.64
belgium,48.9,51.1,847,CFB,52.54,11.41
sweden,48.1,51.9,624,DFB,45.05,7.25
mauritius,48.1,51.9,2041,AM,77.16,25.09
zambia,47.9,52.1,1020,CWA,73.99,23.33
italy,47.3,52.7,832,CSA,58.05,14.47
new zealand,47.1,52.9,1732,CFB,55.53,13.07
morocco,47.1,52.9,346,BSH,70.63,21.46
egypt,47.0,53.0,18,BWH,76.82,24.9
united kingdom,46.9,53.1,1220,CFB,51.35,10.75
